DATE,SP500,VIX,10yr,2yr,Slope
8/18/2008,1278.60,20.98,3.82,2.35,1.47
8/19/2008,1266.69,21.28,3.83,2.32,1.51
8/20/2008,1274.54,20.42,3.79,2.25,1.54
8/21/2008,1277.72,19.82,3.84,2.33,1.51
8/22/2008,1292.20,18.81,3.87,2.42,1.45
8/25/2008,1266.84,20.97,3.79,2.33,1.46
8/26/2008,1271.51,20.49,3.79,2.35,1.44
8/27/2008,1281.66,19.76,3.77,2.31,1.46
8/28/2008,1300.68,19.43,3.79,2.37,1.42
8/29/2008,1282.83,20.65,3.83,2.36,1.47
9/1/2008,.,0.00,.,.,#VALUE!
9/2/2008,1277.58,21.99,3.74,2.26,1.48
9/3/2008,1274.98,21.43,3.71,2.26,1.45
9/4/2008,1236.83,24.03,3.64,2.2,1.44
9/5/2008,1242.31,23.06,3.66,2.23,1.43
9/8/2008,1267.79,22.64,3.66,2.3,1.36
9/9/2008,1224.51,25.47,3.62,2.23,1.39
9/10/2008,1232.04,24.52,3.65,2.22,1.43
9/11/2008,1249.05,24.39,3.64,2.18,1.46
9/12/2008,1251.70,25.66,3.74,2.23,1.51
9/15/2008,1192.70,31.70,3.47,1.78,1.69
9/16/2008,1213.59,30.30,3.48,1.89,1.59
9/17/2008,1156.39,36.22,3.41,1.64,1.77
9/18/2008,1206.51,33.10,3.54,1.78,1.76
9/19/2008,1255.08,32.07,3.78,2.16,1.62
9/22/2008,1207.09,33.85,3.83,2.13,1.70
9/23/2008,1188.22,35.72,3.85,2.11,1.74
9/24/2008,1185.87,35.19,3.80,2.03,1.77
9/25/2008,1209.18,32.82,3.88,2.16,1.72
9/26/2008,1213.01,34.74,3.85,2.11,1.74
9/29/2008,1106.39,46.72,3.61,1.7,1.91
9/30/2008,1166.36,39.39,3.85,2,1.85
10/1/2008,1161.06,39.81,3.77,1.82,1.95
10/2/2008,1114.28,45.26,3.66,1.62,2.04
10/3/2008,1099.23,45.14,3.63,1.6,2.03
10/6/2008,1056.89,52.05,3.48,1.43,2.05
10/7/2008,996.23,53.68,3.50,1.47,2.03
10/8/2008,984.94,57.53,3.72,1.65,2.07
10/9/2008,909.92,63.92,3.84,1.65,2.19
10/10/2008,899.22,69.95,3.89,1.62,2.27
10/13/2008,1003.35,54.99,.,.,#VALUE!
10/14/2008,998.01,55.13,4.08,1.82,2.26
10/15/2008,907.84,69.25,4.04,1.64,2.40
10/16/2008,946.43,67.61,3.99,1.61,2.38
10/17/2008,940.55,70.33,3.98,1.64,2.34
10/20/2008,985.40,52.97,3.91,1.71,2.20
10/21/2008,955.05,53.11,3.76,1.58,2.18
10/22/2008,896.78,69.65,3.65,1.53,2.12
10/23/2008,908.11,67.80,3.63,1.54,2.09
10/24/2008,876.77,79.13,3.76,1.57,2.19
10/27/2008,848.92,80.06,3.79,1.59,2.20
10/28/2008,940.51,66.96,3.89,1.65,2.24
10/29/2008,930.09,69.96,3.93,1.58,2.35
10/30/2008,954.09,62.90,4.00,1.59,2.41
10/31/2008,968.75,59.89,4.01,1.56,2.45
11/3/2008,966.30,53.68,3.96,1.45,2.51
11/4/2008,1005.75,47.73,3.81,1.39,2.42
11/5/2008,952.77,54.56,3.73,1.36,2.37
11/6/2008,904.88,63.68,3.75,1.28,2.47
11/7/2008,930.99,56.10,3.83,1.33,2.50
11/10/2008,919.21,59.98,3.82,1.27,2.55
11/11/2008,898.95,61.44,.,.,#VALUE!
11/12/2008,852.30,66.46,3.75,1.19,2.56
11/13/2008,911.29,59.83,3.84,1.24,2.60
11/14/2008,873.29,66.31,3.72,1.22,2.50
11/17/2008,850.75,69.15,3.68,1.22,2.46
11/18/2008,859.12,67.64,3.53,1.15,2.38
11/19/2008,806.58,74.26,3.38,1.09,2.29
11/20/2008,752.44,80.86,3.10,1,2.10
11/21/2008,800.03,72.67,3.20,1.09,2.11
11/24/2008,851.81,64.70,3.35,1.31,2.04
11/25/2008,857.39,60.90,3.11,1.15,1.96
11/26/2008,887.68,54.92,2.99,1.09,1.90
11/27/2008,.,0.00,.,.,#VALUE!
11/28/2008,896.24,55.28,2.93,1,1.93
12/1/2008,816.21,68.51,2.72,0.9,1.82
12/2/2008,848.81,62.98,2.68,0.9,1.78
12/3/2008,870.74,60.72,2.67,0.87,1.80
12/4/2008,845.22,63.64,2.55,0.82,1.73
12/5/2008,876.07,59.93,2.67,0.93,1.74
12/8/2008,909.70,58.49,2.77,0.97,1.80
12/9/2008,888.67,58.91,2.67,0.84,1.83
12/10/2008,899.24,55.73,2.69,0.86,1.83
12/11/2008,873.59,55.78,2.64,0.79,1.85
12/12/2008,879.73,54.28,2.60,0.78,1.82
12/15/2008,868.57,56.76,2.53,0.75,1.78
12/16/2008,913.18,52.37,2.37,0.65,1.72
12/17/2008,904.42,49.84,2.20,0.73,1.47
12/18/2008,885.28,47.34,2.08,0.68,1.40
12/19/2008,887.88,44.93,2.13,0.74,1.39
12/22/2008,871.63,44.56,2.16,0.87,1.29
12/23/2008,863.16,45.02,2.18,0.9,1.28
12/24/2008,868.15,44.21,2.20,0.9,1.30
12/25/2008,.,0.00,.,.,#VALUE!
12/26/2008,872.80,43.38,2.16,0.89,1.27
12/29/2008,869.42,43.90,2.13,0.78,1.35
12/30/2008,890.64,41.63,2.11,0.75,1.36
12/31/2008,903.25,40.00,2.25,0.76,1.49
1/1/2009,.,0.00,.,.,#VALUE!
1/2/2009,931.80,39.19,2.46,0.88,1.58
1/5/2009,927.45,39.08,2.49,0.78,1.71
1/6/2009,934.70,38.56,2.51,0.8,1.71
1/7/2009,906.65,43.39,2.52,0.82,1.70
1/8/2009,909.73,42.56,2.47,0.83,1.64
1/9/2009,890.35,42.82,2.43,0.75,1.68
1/12/2009,870.26,45.84,2.34,0.74,1.60
1/13/2009,871.79,43.27,2.33,0.76,1.57
1/14/2009,842.62,49.14,2.24,0.73,1.51
1/15/2009,843.74,51.00,2.23,0.73,1.50
1/16/2009,850.12,46.11,2.36,0.73,1.63
1/19/2009,.,0.00,.,.,#VALUE!
1/20/2009,805.22,56.65,2.40,0.73,1.67
1/21/2009,840.24,46.42,2.56,0.78,1.78
1/22/2009,827.50,47.29,2.62,0.75,1.87
1/23/2009,831.95,47.27,2.65,0.83,1.82
1/26/2009,836.57,45.69,2.70,0.85,1.85
1/27/2009,845.71,42.25,2.59,0.87,1.72
1/28/2009,874.09,39.66,2.71,0.89,1.82
1/29/2009,845.14,42.63,2.87,0.95,1.92
1/30/2009,825.88,44.84,2.87,0.94,1.93
2/2/2009,825.44,45.52,2.76,0.89,1.87
2/3/2009,838.51,43.06,2.89,0.96,1.93
2/4/2009,832.23,43.85,2.95,0.98,1.97
2/5/2009,845.85,43.73,2.95,0.98,1.97
2/6/2009,868.60,43.37,3.05,0.99,2.06
2/9/2009,869.89,43.64,3.07,1.05,2.02
2/10/2009,827.16,46.67,2.90,0.92,1.98
2/11/2009,833.74,44.53,2.78,0.93,1.85
2/12/2009,835.19,41.25,2.75,0.89,1.86
2/13/2009,826.84,42.93,2.89,0.97,1.92
2/16/2009,.,0.00,.,.,#VALUE!
2/17/2009,789.17,48.66,2.64,0.87,1.77
2/18/2009,788.42,48.46,2.74,0.97,1.77
2/19/2009,778.94,47.08,2.85,1.01,1.84
2/20/2009,770.05,49.30,2.78,0.96,1.82
2/23/2009,743.33,52.62,2.78,0.96,1.82
2/24/2009,773.14,45.49,2.80,1.03,1.77
2/25/2009,764.90,44.67,2.95,1.09,1.86
2/26/2009,752.83,44.66,2.98,1.08,1.90
2/27/2009,735.09,46.35,3.02,1,2.02
3/2/2009,700.82,52.65,2.91,0.89,2.02
3/3/2009,696.33,50.93,2.93,0.91,2.02
3/4/2009,712.87,47.56,3.01,0.97,2.04
3/5/2009,682.55,50.17,2.83,0.9,1.93
3/6/2009,683.38,49.33,2.83,0.91,1.92
3/9/2009,676.53,49.68,2.89,0.96,1.93
3/10/2009,719.60,44.37,2.99,1.01,1.98
3/11/2009,721.36,43.61,2.95,1.03,1.92
3/12/2009,750.74,41.18,2.89,1.03,1.86
3/13/2009,756.55,42.36,2.89,0.98,1.91
3/16/2009,753.89,43.74,2.97,1,1.97
3/17/2009,778.12,40.80,3.02,1.05,1.97
3/18/2009,794.35,40.06,2.51,0.82,1.69
3/19/2009,784.04,43.68,2.61,0.87,1.74
3/20/2009,768.54,45.89,2.65,0.89,1.76
3/23/2009,822.92,43.23,2.68,0.93,1.75
3/24/2009,806.12,42.93,2.68,0.93,1.75
3/25/2009,813.88,42.25,2.81,0.96,1.85
3/26/2009,832.86,40.36,2.76,0.9,1.86
3/27/2009,815.94,41.04,2.78,0.9,1.88
3/30/2009,787.53,45.54,2.73,0.84,1.89
3/31/2009,797.87,44.14,2.71,0.81,1.90
4/1/2009,811.08,42.28,2.68,0.83,1.85
4/2/2009,834.38,42.04,2.77,0.88,1.89
4/3/2009,842.50,39.70,2.91,0.96,1.95
4/6/2009,835.48,40.93,2.95,0.94,2.01
4/7/2009,815.55,40.39,2.93,0.91,2.02
4/8/2009,825.16,38.85,2.86,0.93,1.93
4/9/2009,856.56,36.53,2.96,0.96,2.00
4/10/2009,.,0.00,.,.,#VALUE!
4/13/2009,858.73,37.81,2.88,0.89,1.99
4/14/2009,841.50,37.67,2.80,0.86,1.94
4/15/2009,852.06,36.17,2.82,0.86,1.96
4/16/2009,865.30,35.79,2.86,0.91,1.95
4/17/2009,869.60,33.94,2.98,0.99,1.99
4/20/2009,832.39,39.18,2.88,0.93,1.95
4/21/2009,850.08,37.14,2.94,0.96,1.98
4/22/2009,843.55,38.10,2.98,1,1.98
4/23/2009,851.92,37.15,2.96,0.97,1.99
4/24/2009,866.23,36.82,3.03,0.99,2.04
4/27/2009,857.51,38.32,2.95,0.9,2.05
4/28/2009,855.16,37.95,3.05,0.95,2.10
4/29/2009,873.64,36.08,3.12,0.94,2.18
4/30/2009,872.81,36.50,3.16,0.91,2.25
5/1/2009,877.52,35.30,3.21,0.92,2.29
5/4/2009,907.24,34.53,3.19,0.94,2.25
5/5/2009,903.80,33.36,3.20,0.98,2.22
5/6/2009,919.53,32.45,3.18,0.96,2.22
5/7/2009,907.39,33.44,3.29,1,2.29
5/8/2009,929.23,32.05,3.29,1,2.29
5/11/2009,909.24,32.87,3.17,0.92,2.25
5/12/2009,908.35,31.80,3.17,0.9,2.27
5/13/2009,883.92,33.65,3.11,0.89,2.22
5/14/2009,893.07,31.37,3.10,0.87,2.23
5/15/2009,882.88,33.12,3.14,0.88,2.26
5/18/2009,909.71,30.24,3.22,0.93,2.29
5/19/2009,908.13,28.80,3.25,0.91,2.34
5/20/2009,903.47,29.03,3.19,0.87,2.32
5/21/2009,888.33,31.35,3.35,0.89,2.46
5/22/2009,887.00,32.63,3.45,0.92,2.53
5/25/2009,.,0.00,.,.,#VALUE!
5/26/2009,910.33,30.62,3.50,0.96,2.54
5/27/2009,893.06,32.36,3.71,0.96,2.75
5/28/2009,906.83,31.67,3.67,0.97,2.70
5/29/2009,919.14,28.92,3.47,0.92,2.55
6/1/2009,942.87,30.04,3.71,0.97,2.74
6/2/2009,944.74,29.63,3.65,0.96,2.69
6/3/2009,931.76,31.02,3.56,0.91,2.65
6/4/2009,942.46,30.18,3.72,0.96,2.76
6/5/2009,940.09,29.62,3.84,1.32,2.52
6/8/2009,939.14,29.77,3.91,1.42,2.49
6/9/2009,942.43,28.27,3.86,1.33,2.53
6/10/2009,939.15,28.46,3.98,1.38,2.60
6/11/2009,944.89,28.11,3.88,1.35,2.53
6/12/2009,946.21,28.15,3.81,1.3,2.51
6/15/2009,923.72,30.81,3.76,1.26,2.50
6/16/2009,911.97,32.68,3.67,1.23,2.44
6/17/2009,910.71,31.54,3.68,1.19,2.49
6/18/2009,918.37,30.03,3.86,1.28,2.58
6/19/2009,921.23,27.99,3.79,1.25,2.54
6/22/2009,893.04,31.17,3.72,1.17,2.55
6/23/2009,895.10,30.58,3.65,1.14,2.51
6/24/2009,900.94,29.05,3.72,1.19,2.53
6/25/2009,920.26,26.36,3.55,1.12,2.43
6/26/2009,918.90,25.93,3.52,1.1,2.42
6/29/2009,927.23,25.35,3.51,1.11,2.40
6/30/2009,919.32,26.35,3.53,1.11,2.42
7/1/2009,923.33,26.22,3.55,1.05,2.50
7/2/2009,896.42,27.95,3.51,0.98,2.53
7/3/2009,.,0.00,.,.,#VALUE!
7/6/2009,898.72,29.00,3.52,0.96,2.56
7/7/2009,881.03,30.85,3.47,0.98,2.49
7/8/2009,879.56,31.30,3.33,0.91,2.42
7/9/2009,882.68,29.78,3.44,0.94,2.50
7/10/2009,879.13,29.02,3.32,0.91,2.41
7/13/2009,901.05,26.31,3.38,0.92,2.46
7/14/2009,905.84,25.02,3.50,0.97,2.53
7/15/2009,932.68,25.89,3.63,1.03,2.60
7/16/2009,940.74,25.42,3.59,1,2.59
7/17/2009,940.38,24.34,3.67,1.02,2.65
7/20/2009,951.13,24.40,3.61,0.99,2.62
7/21/2009,954.58,23.87,3.50,0.96,2.54
7/22/2009,954.07,23.47,3.58,0.98,2.60
7/23/2009,976.29,23.43,3.72,1.08,2.64
7/24/2009,979.26,23.09,3.70,1.05,2.65
7/27/2009,982.18,24.28,3.75,1.08,2.67
7/28/2009,979.62,25.01,3.72,1.12,2.60
7/29/2009,975.15,25.61,3.69,1.17,2.52
7/30/2009,986.75,25.40,3.67,1.19,2.48
7/31/2009,987.48,25.92,3.52,1.13,2.39
8/3/2009,1002.63,25.56,3.66,1.18,2.48
8/4/2009,1005.65,24.89,3.70,1.2,2.50
8/5/2009,1002.72,24.90,3.80,1.23,2.57
8/6/2009,997.08,25.67,3.79,1.22,2.57
8/7/2009,1010.48,24.76,3.89,1.32,2.57
8/10/2009,1007.10,24.99,3.80,1.24,2.56
8/11/2009,994.35,25.99,3.71,1.21,2.50
8/12/2009,1005.81,25.45,3.72,1.18,2.54
8/13/2009,1012.73,24.71,3.59,1.12,2.47
8/14/2009,1004.09,24.27,3.55,1.07,2.48
8/17/2009,979.73,27.89,3.48,1.04,2.44
8/18/2009,989.67,26.18,3.51,1.06,2.45
8/19/2009,996.46,26.26,3.45,1.01,2.44
8/20/2009,1007.37,25.09,3.42,1.03,2.39
8/21/2009,1026.13,25.01,3.56,1.13,2.43
8/24/2009,1025.57,25.14,3.48,1.05,2.43
8/25/2009,1028.00,24.92,3.45,1.05,2.40
8/26/2009,1028.12,24.95,3.44,1.06,2.38
8/27/2009,1030.98,24.68,3.47,1.04,2.43
8/28/2009,1028.93,24.76,3.46,1.01,2.45
8/31/2009,1020.62,26.01,3.40,0.97,2.43
9/1/2009,998.04,29.15,3.38,0.92,2.46
9/2/2009,994.75,28.90,3.29,0.89,2.40
9/3/2009,1003.24,27.10,3.33,0.91,2.42
9/4/2009,1016.40,25.26,3.45,0.94,2.51
9/7/2009,.,0.00,.,.,#VALUE!
9/8/2009,1025.39,25.62,3.47,0.93,2.54
9/9/2009,1033.37,24.32,3.48,0.93,2.55
9/10/2009,1044.14,23.55,3.36,0.9,2.46
9/11/2009,1042.73,24.15,3.34,0.9,2.44
9/14/2009,1049.34,23.86,3.42,0.94,2.48
9/15/2009,1052.63,23.42,3.47,0.96,2.51
9/16/2009,1068.76,23.69,3.48,1.01,2.47
9/17/2009,1065.49,23.65,3.42,0.98,2.44
9/18/2009,1068.30,23.92,3.49,1.03,2.46
9/21/2009,1064.66,24.06,3.49,1.02,2.47
9/22/2009,1071.66,23.08,3.46,1.02,2.44
9/23/2009,1060.87,23.49,3.44,0.96,2.48
9/24/2009,1050.78,24.95,3.40,0.93,2.47
9/25/2009,1044.38,25.61,3.34,0.98,2.36
9/28/2009,1062.98,24.88,3.31,0.98,2.33
9/29/2009,1060.61,25.19,3.31,1,2.31
9/30/2009,1057.08,25.61,3.31,0.95,2.36
10/1/2009,1029.85,28.27,3.21,0.87,2.34
10/2/2009,1025.21,28.68,3.24,0.88,2.36
10/5/2009,1040.46,26.84,3.24,0.88,2.36
10/6/2009,1054.72,25.70,3.27,0.91,2.36
10/7/2009,1057.58,24.68,3.21,0.87,2.34
10/8/2009,1065.48,24.18,3.27,0.9,2.37
10/9/2009,1071.49,23.12,3.40,0.98,2.42
10/12/2009,1076.19,23.01,.,.,#VALUE!
10/13/2009,1073.19,22.99,3.34,0.91,2.43
10/14/2009,1092.02,22.86,3.45,0.96,2.49
10/15/2009,1096.56,21.72,3.49,0.97,2.52
10/16/2009,1087.68,21.43,3.43,0.97,2.46
10/19/2009,1097.91,21.49,3.41,0.99,2.42
10/20/2009,1091.06,20.90,3.35,0.95,2.40
10/21/2009,1081.40,22.22,3.42,1,2.42
10/22/2009,1092.91,20.69,3.44,0.97,2.47
10/23/2009,1079.60,22.27,3.51,1.04,2.47
10/26/2009,1066.95,24.31,3.59,1.06,2.53
10/27/2009,1063.41,24.83,3.49,0.99,2.50
10/28/2009,1042.63,27.91,3.44,0.95,2.49
10/29/2009,1066.11,24.76,3.53,0.98,2.55
10/30/2009,1036.19,30.69,3.41,0.9,2.51
11/2/2009,1042.88,29.78,3.45,0.92,2.53
11/3/2009,1045.41,28.81,3.50,0.92,2.58
11/4/2009,1046.50,27.72,3.57,0.91,2.66
11/5/2009,1066.63,25.43,3.57,0.9,2.67
11/6/2009,1069.30,24.19,3.54,0.86,2.68
11/9/2009,1093.08,23.15,3.52,0.87,2.65
11/10/2009,1093.01,22.84,3.50,0.85,2.65
11/11/2009,1098.51,23.04,.,.,#VALUE!
11/12/2009,1087.24,24.24,3.45,0.82,2.63
11/13/2009,1093.48,23.36,3.43,0.82,2.61
11/16/2009,1109.30,22.89,3.33,0.78,2.55
11/17/2009,1110.32,22.41,3.33,0.78,2.55
11/18/2009,1109.80,21.63,3.36,0.77,2.59
11/19/2009,1094.90,22.63,3.35,0.73,2.62
11/20/2009,1091.38,22.19,3.36,0.75,2.61
11/23/2009,1106.24,21.16,3.37,0.77,2.60
11/24/2009,1105.65,20.47,3.32,0.73,2.59
11/25/2009,1110.63,20.48,3.28,0.73,2.55
11/26/2009,.,0.00,.,.,#VALUE!
11/27/2009,1091.49,24.74,3.21,0.68,2.53
11/30/2009,1095.63,24.51,3.21,0.67,2.54
12/1/2009,1108.86,21.92,3.28,0.67,2.61
12/2/2009,1109.24,21.12,3.32,0.72,2.60
12/3/2009,1099.92,22.46,3.39,0.74,2.65
12/4/2009,1105.98,21.25,3.48,0.84,2.64
12/7/2009,1103.25,22.10,3.44,0.78,2.66
12/8/2009,1091.94,23.69,3.40,0.73,2.67
12/9/2009,1095.95,22.66,3.45,0.76,2.69
12/10/2009,1102.35,22.32,3.49,0.78,2.71
12/11/2009,1106.41,21.59,3.55,0.83,2.72
12/14/2009,1114.11,21.15,3.56,0.87,2.69
12/15/2009,1107.93,21.49,3.60,0.88,2.72
12/16/2009,1109.18,20.54,3.61,0.85,2.76
12/17/2009,1096.08,22.51,3.50,0.77,2.73
12/18/2009,1102.47,21.68,3.55,0.82,2.73
12/21/2009,1114.05,20.49,3.69,0.89,2.80
12/22/2009,1118.02,19.54,3.76,0.95,2.81
12/23/2009,1120.59,19.71,3.77,0.96,2.81
12/24/2009,1126.48,19.47,3.82,1,2.82
12/25/2009,.,0.00,.,.,#VALUE!
12/28/2009,1127.78,19.93,3.85,1.09,2.76
12/29/2009,1126.20,20.01,3.82,1.09,2.73
12/30/2009,1126.42,19.96,3.80,1.08,2.72
12/31/2009,1115.10,21.68,3.85,1.14,2.71
1/1/2010,.,0.00,.,.,#VALUE!
1/4/2010,1132.99,20.04,3.85,1.09,2.76
1/5/2010,1136.52,19.35,3.77,1.01,2.76
1/6/2010,1137.14,19.16,3.85,1.01,2.84
1/7/2010,1141.69,19.06,3.85,1.03,2.82
1/8/2010,1144.98,18.13,3.83,0.96,2.87
1/11/2010,1146.98,17.55,3.85,0.95,2.90
1/12/2010,1136.22,18.25,3.74,0.92,2.82
1/13/2010,1145.68,17.85,3.80,0.97,2.83
1/14/2010,1148.46,17.63,3.76,0.94,2.82
1/15/2010,1136.03,17.91,3.70,0.89,2.81
1/18/2010,.,0.00,.,.,#VALUE!
1/19/2010,1150.23,17.58,3.73,0.93,2.80
1/20/2010,1138.04,18.68,3.68,0.92,2.76
1/21/2010,1116.48,22.27,3.62,0.87,2.75
